Ticker,Purchase Date,Purchase Price,Number of Shares,Total Cost
HON,01/29/16,103.2,193,19917.6
GOOG,01/29/16,742.95,26,19316.7
TSLA,01/29/16,191.2,104,19884.8
V,01/29/16,74.49,268,19963.32
